                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.6391,                 1.7973,                 2.1077,                 0.8446,                0.74808,                0.85756,                0.54001,                 2.7022,                 2.2413,                 2.3146,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.5488,                 1.7366,                  2.089,                0.82843,                0.78668,                0.85662,                0.53228,                  2.568,                 2.1661,                 2.2696,              0.0016898,              0.0016898,              0.0016898
                     49,                 2.5967,                 1.6762,                 2.0695,                0.84978,                 0.7945,                0.86002,                0.52617,                 2.6644,                 2.2185,                  2.305,              0.0016832,              0.0016832,              0.0016832
                     50,                 2.6015,                 1.6615,                  2.088,                0.83032,                0.79213,                0.85481,                0.51799,                 2.7329,                 2.1026,                 2.3152,              0.0016766,              0.0016766,              0.0016766
                     51,                 2.5067,                 1.6151,                 2.0529,                0.78839,                0.81742,                0.85653,                0.56006,                 2.6546,                 2.0654,                 2.2719,                0.00167,                0.00167,                0.00167
                     52,                 2.4976,                 1.6399,                 2.0579,                 0.8673,                0.77108,                0.86792,                0.57453,                 2.5142,                 2.1092,                 2.2918,              0.0016634,              0.0016634,              0.0016634
                     53,                 2.5438,                 1.6615,                 2.0244,                0.87858,                0.76404,                0.86811,                0.55155,                 2.6589,                 2.1871,                 2.3284,              0.0016568,              0.0016568,              0.0016568
                     54,                  2.588,                 1.6608,                 2.0615,                 0.8318,                0.77792,                0.85189,                0.52222,                 2.8006,                  2.379,                 2.4054,              0.0016502,              0.0016502,              0.0016502
                     55,                 2.5461,                 1.7549,                 2.0646,                0.85712,                0.77511,                0.87313,                0.56135,                 2.7003,                 2.2241,                 2.3412,              0.0016436,              0.0016436,              0.0016436
                     56,                  2.488,                  1.631,                 2.0527,                0.84514,                0.80899,                0.87227,                 0.5775,                 2.6197,                 2.0711,                 2.3014,               0.001637,               0.001637,               0.001637
                     57,                 2.5847,                 1.6564,                 2.0802,                0.85978,                0.78652,                0.87348,                0.54633,                 2.7468,                 2.1257,                 2.3473,              0.0016304,              0.0016304,              0.0016304
                     58,                 2.5415,                 1.6014,                 2.1026,                0.84866,                0.77809,                0.85271,                0.54178,                 2.6881,                 2.1575,                 2.3876,              0.0016238,              0.0016238,              0.0016238
                     59,                 2.4715,                 1.6273,                 2.1213,                0.87409,                0.78371,                0.87405,                0.56761,                 2.6614,                 2.1515,                 2.3263,              0.0016172,              0.0016172,              0.0016172
                     60,                 2.5763,                 1.6218,                 2.0879,                0.90116,                0.78652,                0.87747,                0.56324,                 2.6072,                 2.1196,                 2.3069,              0.0016106,              0.0016106,              0.0016106
                     61,                  2.534,                 1.5717,                 2.1009,                0.85761,                0.76133,                0.86587,                0.56961,                 2.5804,                 1.9488,                 2.2534,               0.001604,               0.001604,               0.001604
                     62,                 2.4171,                 1.5662,                 2.0379,                0.84492,                0.78051,                0.87257,                0.56318,                 2.6145,                 1.9904,                 2.2432,              0.0015974,              0.0015974,              0.0015974
                     63,                 2.4883,                 1.6035,                 2.0845,                0.82947,                0.80612,                0.86829,                0.51317,                 2.6966,                 2.1597,                 2.3388,              0.0015908,              0.0015908,              0.0015908
                     64,                 2.4332,                  1.548,                 1.9833,                0.87968,                0.79213,                0.88242,                0.54422,                 2.5744,                 1.9752,                 2.2489,              0.0015842,              0.0015842,              0.0015842
                     65,                 2.3716,                 1.5294,                 1.9758,                 0.8511,                0.78933,                 0.8715,                0.53977,                 2.5256,                 1.8737,                 2.2612,              0.0015776,              0.0015776,              0.0015776
                     66,                 2.3696,                 1.4911,                 2.0071,                0.88189,                0.76966,                0.87178,                0.53283,                 2.6725,                 1.9329,                 2.3177,               0.001571,               0.001571,               0.001571
                     67,                 2.5759,                 1.6494,                 2.0807,                0.90158,                0.80337,                0.88314,                0.55066,                 2.6774,                 2.0708,                  2.277,              0.0015644,              0.0015644,              0.0015644
                     68,                 2.5402,                 1.5816,                   2.07,                0.85751,                0.81142,                0.88139,                0.55761,                 2.6491,                 2.1804,                  2.294,              0.0015578,              0.0015578,              0.0015578
                     69,                 2.4487,                 1.5621,                 2.0458,                0.93809,                0.78371,                0.90259,                0.58006,                 2.5722,                 2.1315,                 2.2601,              0.0015512,              0.0015512,              0.0015512
                     70,                  2.483,                 1.5471,                 2.0907,                0.90879,                0.78364,                 0.8866,                0.58812,                  2.571,                 1.9716,                 2.2449,              0.0015446,              0.0015446,              0.0015446
                     71,                 2.5118,                 1.5941,                 2.0876,                0.84417,                0.76966,                0.86418,                0.55002,                  2.712,                 2.1795,                 2.3407,               0.001538,               0.001538,               0.001538
                     72,                 2.4817,                 1.4579,                 2.0503,                0.88744,                0.78652,                0.87371,                0.57299,                 2.6743,                 2.0705,                 2.3439,              0.0015314,              0.0015314,              0.0015314
                     73,                 2.4073,                 1.5416,                 2.0564,                0.90061,                0.81448,                0.89276,                 0.5348,                 2.7946,                 1.9957,                 2.3672,              0.0015248,              0.0015248,              0.0015248
                     74,                 2.5086,                 1.5838,                 2.0077,                0.89617,                0.77581,                0.88148,                0.54235,                 2.7066,                 1.9539,                 2.3102,              0.0015182,              0.0015182,              0.0015182
                     75,                 2.3356,                  1.558,                 1.9854,                0.87372,                0.79682,                0.87964,                0.57202,                 2.6018,                 1.9631,                 2.2611,              0.0015116,              0.0015116,              0.0015116
                     76,                 2.4956,                 1.5611,                 2.0537,                0.87688,                0.80899,                0.87919,                0.54871,                 2.7037,                 2.2113,                 2.3014,               0.001505,               0.001505,               0.001505
                     77,                 2.4383,                  1.455,                 2.0934,                0.87753,                0.80509,                0.88675,                0.58851,                 2.6167,                 1.9737,                 2.3121,              0.0014984,              0.0014984,              0.0014984
                     78,                 2.5015,                 1.5245,                 2.0076,                 0.8232,                0.79782,                0.87428,                0.58301,                 2.6539,                 2.0598,                 2.2988,              0.0014918,              0.0014918,              0.0014918
                     79,                 2.2774,                 1.3824,                 1.9846,                0.90387,                0.78371,                0.89227,                0.58519,                 2.6528,                 2.0757,                  2.314,              0.0014852,              0.0014852,              0.0014852
                     80,                 2.3526,                 1.4352,                 1.9796,                0.87475,                0.77247,                 0.8861,                0.56698,                 2.7447,                 2.1358,                  2.351,              0.0014786,              0.0014786,              0.0014786
                     81,                   2.41,                 1.4748,                 1.9891,                 0.8603,                0.81742,                0.89082,                0.58488,                 2.6321,                 2.1266,                 2.3108,               0.001472,               0.001472,               0.001472
                     82,                 2.3859,                 1.4514,                 2.0148,                0.88024,                0.82022,                0.88598,                0.60305,                 2.5971,                 2.0257,                 2.3115,              0.0014654,              0.0014654,              0.0014654
                     83,                 2.3403,                 1.4969,                 1.9857,                0.87912,                0.80618,                0.89171,                0.59866,                 2.5295,                 2.1273,                 2.2767,              0.0014588,              0.0014588,              0.0014588
                     84,                   2.36,                 1.4724,                   1.96,                0.85389,                0.82584,                0.89089,                0.61058,                 2.4799,                 2.0137,                   2.24,              0.0014522,              0.0014522,              0.0014522
                     85,                 2.4213,                 1.4199,                 2.0502,                0.88525,                0.79775,                 0.8863,                0.58187,                 2.6101,                 2.1457,                 2.2868,              0.0014456,              0.0014456,              0.0014456
                     86,                 2.2949,                 1.3766,                 1.9538,                0.86381,                0.83738,                0.90117,                 0.5952,                 2.6167,                  2.183,                 2.2954,               0.001439,               0.001439,               0.001439
                     87,                 2.3297,                 1.3848,                 1.9947,                0.89725,                  0.834,                0.89811,                0.58909,                 2.6455,                 2.1615,                 2.3434,              0.0014324,              0.0014324,              0.0014324
                     88,                 2.4116,                 1.4431,                 2.0158,                0.92017,                0.77703,                0.88934,                0.56899,                 2.6978,                 2.1839,                 2.3243,              0.0014258,              0.0014258,              0.0014258
                     89,                 2.3297,                 1.4098,                 1.9762,                0.87542,                0.78957,                0.87662,                0.55707,                 2.6713,                 2.2443,                 2.3806,              0.0014192,              0.0014192,              0.0014192
                     90,                 2.3377,                 1.4139,                 2.0184,                0.88791,                0.79775,                0.88376,                0.57918,                 2.5311,                 2.0905,                  2.244,              0.0014126,              0.0014126,              0.0014126
                     91,                 2.3753,                 1.4779,                 1.9828,                0.87763,                0.80581,                0.88643,                0.58401,                 2.5733,                 2.0789,                 2.2323,               0.001406,               0.001406,               0.001406
                     92,                 2.3927,                 1.5072,                 2.0054,                0.88005,                0.83427,                0.89256,                  0.585,                 2.5223,                 1.9974,                 2.2233,              0.0013994,              0.0013994,              0.0013994
                     93,                 2.2457,                 1.3693,                 1.9635,                0.92048,                0.79775,                 0.8997,                0.58211,                 2.5671,                 2.0416,                 2.2563,              0.0013928,              0.0013928,              0.0013928
                     94,                 2.4155,                 1.4739,                 2.0483,                0.90219,                0.80317,                0.89245,                0.58022,                 2.6083,                 2.1151,                 2.3128,              0.0013862,              0.0013862,              0.0013862
                     95,                 2.4449,                 1.4396,                 2.0843,                0.84071,                0.83025,                0.88394,                0.55237,                  2.708,                 2.1688,                 2.3509,              0.0013796,              0.0013796,              0.0013796
                     96,                 2.4374,                 1.4443,                  1.989,                0.88741,                0.77809,                0.88436,                0.58602,                 2.6204,                 2.0044,                 2.2928,               0.001373,               0.001373,               0.001373
                     97,                 2.3026,                 1.3947,                 1.9539,                0.87511,                0.78732,                0.88089,                0.58441,                 2.5598,                 1.9365,                 2.2659,              0.0013664,              0.0013664,              0.0013664
                     98,                 2.3872,                 1.3808,                 1.9875,                 0.8683,                 0.8149,                0.87768,                0.52982,                 2.8049,                 2.1468,                 2.4145,              0.0013598,              0.0013598,              0.0013598
                     99,                 2.4038,                 1.4393,                 2.0171,                0.87917,                0.81751,                0.88205,                0.58025,                 2.5979,                 1.9871,                 2.2785,              0.0013532,              0.0013532,              0.0013532
                    100,                 2.3283,                 1.4243,                 2.0001,                0.90991,                0.76966,                  0.881,                0.57258,                 2.6327,                 2.2067,                 2.3281,              0.0013466,              0.0013466,              0.0013466
                    101,                 2.1935,                 1.3562,                 1.9287,                0.91064,                0.78652,                0.88314,                0.57548,                 2.6284,                 2.1836,                  2.306,                0.00134,                0.00134,                0.00134
                    102,                 2.2094,                 1.3359,                 1.9085,                0.90973,                0.82093,                0.88893,                0.57731,                 2.5728,                 2.2139,                  2.287,              0.0013334,              0.0013334,              0.0013334
                    103,                 2.3831,                 1.3958,                 2.0412,                0.87508,                0.83146,                0.88904,                0.57501,                 2.6214,                  2.187,                 2.2807,              0.0013268,              0.0013268,              0.0013268
                    104,                 2.3627,                 1.3418,                 2.0135,                0.93435,                0.78933,                0.89012,                0.57647,                 2.6221,                  2.056,                 2.2866,              0.0013202,              0.0013202,              0.0013202
                    105,                 2.2969,                  1.372,                 1.9842,                0.88366,                0.84831,                 0.8905,                0.59377,                 2.5069,                 2.0842,                 2.2157,              0.0013136,              0.0013136,              0.0013136
                    106,                 2.3385,                 1.3665,                 1.9711,                0.87234,                0.82536,                0.89361,                0.59784,                 2.5305,                 2.0344,                  2.228,               0.001307,               0.001307,               0.001307
                    107,                 2.2902,                 1.3237,                 1.9348,                0.88506,                0.82584,                0.89552,                0.58752,                 2.6189,                 2.2269,                  2.247,              0.0013004,              0.0013004,              0.0013004
                    108,                 2.2892,                  1.375,                 1.9939,                0.88764,                0.83708,                0.90336,                0.62595,                 2.4903,                 2.1335,                  2.196,              0.0012938,              0.0012938,              0.0012938
                    109,                 2.2425,                 1.3015,                 1.9438,                0.88122,                0.81278,                0.87386,                0.60102,                 2.4974,                  2.303,                 2.2184,              0.0012872,              0.0012872,              0.0012872
                    110,                 2.3503,                 1.5012,                 2.0288,                0.86404,                0.80899,                0.87546,                0.59149,                 2.5338,                 2.2033,                 2.2233,              0.0012806,              0.0012806,              0.0012806
                    111,                 2.2274,                 1.2974,                 1.9274,                0.90464,                0.77281,                0.89025,                0.59315,                 2.5651,                 2.2082,                 2.2445,               0.001274,               0.001274,               0.001274
                    112,                 2.3558,                 1.3707,                 1.9672,                0.84402,                0.83598,                0.90095,                0.60695,                 2.5319,                 2.0865,                 2.2375,              0.0012674,              0.0012674,              0.0012674
                    113,                 2.2655,                   1.35,                 2.0079,                0.86632,                0.83708,                0.90254,                0.59995,                 2.5303,                 2.0657,                  2.213,              0.0012608,              0.0012608,              0.0012608
                    114,                 2.2679,                 1.3013,                 1.9835,                0.93447,                0.77809,                0.89956,                0.59509,                 2.5554,                  2.018,                  2.252,              0.0012542,              0.0012542,              0.0012542
